UserName,RestaurantName,Review,Rating
"Magic Johnson","Popeyes","Cajun flavors make the chicken stand out.",4
"Michael Jordan","Burger King","Decent burgers, but service can be slow.",3
"Larry Bird","Burger King","Quick and affordable burgers.",3
"Magic Johnson","Burger King","Fast food that's not exceptional.",3
"Michael Jordan","Starbucks","Consistent coffee, good for a quick pick-me-up.",4
"Larry Bird","Starbucks","Reliable coffee and variety of drinks.",4
"Magic Johnson","Starbucks","Coffee chain with familiar flavors.",4
"Michael Jordan","Five Guys","Freshly made burgers with lots of toppings.",4
"Larry Bird","Five Guys","Toppings galore and delicious fries.",4
"Magic Johnson","Five Guys","High-quality ingredients.",4
"Michael Jordan","Dairy Queen","Yummy ice cream treats and tasty burgers.",4
"Larry Bird","Dairy Queen","Great for ice cream desserts.",4
"Magic Johnson","Dairy Queen","Burgers are decent, ice cream is the highlight.",4
"Michael Jordan","Arby's","Tasty roast beef sandwiches and curly fries.",3
"Larry Bird","Arby's","Curly fries are a standout.",3
"Magic Johnson","Arby's","Roast beef sandwiches are decent.",3
"Michael Jordan","Wingstop","Flavorful wings with a variety of sauces.",4
"Larry Bird","Wingstop","Tasty wings with a good variety of flavors.",4
"Magic Johnson","Wingstop","Wings are a hit, good selection of sauces.",4
"Michael Jordan","Qdoba","Fresh ingredients and tasty Mexican options.",4
"Larry Bird","Qdoba","Decent fast food with Mexican flavors.",3
"Magic Johnson","Qdoba","Good options for customizable bowls.",4
"Michael Jordan","Domino's","Convenient pizza delivery, but not the best quality.",3
"Larry Bird","Domino's","Quick pizza delivery.",3
"Magic Johnson","Domino's","Pizza for when you need it fast.",3
"Michael Jordan","Tim Hortons","Good coffee and delicious donuts",4
"Larry Bird","Tim Hortons","Love their donuts and coffee.",4
"Magic Johnson","Tim Hortons","Great for coffee and breakfast.",4
"Michael Jordan","Dunkin'","Love their donuts and coffee options.",4
"Larry Bird","Dunkin'","Donuts and coffee are always good.",4
"Magic Johnson","Dunkin'","Quick and reliable donut shop.",4
"Michael Jordan","Pizza Hut","Classic pizza flavors, good for group orders.",3
"Larry Bird","Pizza Hut","Quick and familiar pizza options.",3
"Magic Johnson","Pizza Hut","Decent pizza for groups.",3
"Michael Jordan","Little Caesars","Affordable and quick",3
"Larry Bird","Little Caesars","Cheap pizza option.",3
"Magic Johnson","Little Caesars","Convenient and affordable.",3
"Michael Jordan","Papa John's","Decent pizza, but can be inconsistent.",3
"Larry Bird","Papa John's","Average pizza with delivery.",3
"Magic Johnson","Papa John's","Pizza chain with inconsistent quality.",3
"Michael Jordan","Jimmy John's","Fast sandwich delivery, but limited options.",3
"Larry Bird","Jimmy John's","Quick sandwich delivery.",3
"Magic Johnson","Jimmy John's","Sandwiches are delivered fast.",3
"Michael Jordan","Jersey Mike's","Freshly made subs with quality ingredients.",4
"Larry Bird","Jersey Mike's","Subs are tasty and filling.",4
"Magic Johnson","Jersey Mike's","Quality ingredients in their subs.",4
"Michael Jordan","Marco's Pizza","Tasty pizza with a good variety of toppings.",4
"Larry Bird","Marco's Pizza","Pizza with good toppings.",4
"Magic Johnson","Marco's Pizza","Variety of toppings makes the pizza enjoyable.",4
"Michael Jordan","Papa Murphy's","Take-and-bake pizzas with fresh ingredients.",4
"Larry Bird","Papa Murphy's","Convenient take-and-bake pizzas.",4
"Magic Johnson","Papa Murphy's","Good option for making your own pizza.",4
"Michael Jordan","Subway","Fresh ingredients.",4
"Larry Bird","Subway","Convenient and customizable subs.",3
"Magic Johnson","Subway","Healthy options with lots of customization.",4
"Michael Jordan","Baskin-Robbins","Brain freeze!",5
"Larry Bird","Baskin-Robbins","Ice cream variety.",4
"Magic Johnson","Baskin-Robbins","Wide range of ice cream flavors.",5
